,negative,positive,uncertainty,litigious,constraining,interesting,word
1841,True,False,False,True,False,False,ALLEGEDLY
1842,True,False,False,True,False,False,ALLEGES
1845,True,False,False,True,False,False,ALLEGING
1880,False,True,False,False,False,False,ALLIANCE
1881,False,True,False,False,False,False,ALLIANCES
1960,False,False,True,False,False,False,ALMOST
2010,False,False,True,False,False,False,ALTERATION
2011,False,False,True,False,False,False,ALTERATIONS
2118,False,False,True,False,False,False,AMBIGUITIES
2119,False,False,True,False,False,False,AMBIGUITY
2120,False,False,True,False,False,False,AMBIGUOUS
2177,False,False,False,True,False,False,AMEND
2178,False,False,False,True,False,False,AMENDABLE
2179,False,False,False,True,False,False,AMENDATORY
2180,False,False,False,True,False,False,AMENDED
2181,False,False,False,True,False,False,AMENDING
2182,False,False,False,True,False,False,AMENDMENT
2183,False,False,False,True,False,False,AMENDMENTS
2184,False,False,False,True,False,False,AMENDS
2666,True,False,False,False,False,False,ANNOY
2667,True,False,False,False,False,False,ANNOYANCE
2668,True,False,False,False,False,False,ANNOYANCES
2669,True,False,False,False,False,False,ANNOYED
2670,True,False,False,False,False,False,ANNOYING
2672,True,False,False,False,False,False,ANNOYS
2687,True,False,False,False,False,False,ANNUL
2689,True,False,False,False,False,False,ANNULLED
2690,True,False,False,False,False,False,ANNULLING
2691,True,False,False,False,False,False,ANNULMENT
2692,True,False,False,False,False,False,ANNULMENTS
2693,True,False,False,False,False,False,ANNULS
2711,True,False,True,False,False,False,ANOMALIES
2712,True,False,True,False,False,False,ANOMALOUS
2713,True,False,True,False,False,False,ANOMALOUSLY
2714,True,False,True,False,False,False,ANOMALY
2757,False,False,False,True,False,False,ANTECEDENT
2758,False,False,False,True,False,False,ANTECEDENTS
2828,False,False,True,False,False,False,ANTICIPATE
2829,False,False,True,False,False,False,ANTICIPATED
2830,False,False,True,False,False,False,ANTICIPATES
2831,False,False,True,False,False,False,ANTICIPATING
2832,False,False,True,False,False,False,ANTICIPATION
2833,False,False,True,False,False,False,ANTICIPATIONS
2849,True,False,False,False,False,False,ANTICOMPETITIVE
2850,False,False,False,True,False,False,ANTICORRUPTION
2966,True,False,False,True,False,False,ANTITRUST
3006,False,False,False,True,False,False,ANYWISE
3127,False,False,True,False,False,False,APPARENT
3128,False,False,True,False,False,False,APPARENTLY
3131,False,False,False,True,False,False,APPEAL
3132,False,False,False,True,False,False,APPEALABLE
3133,False,False,False,True,False,False,APPEALED
3134,False,False,False,True,False,False,APPEALING
3136,False,False,False,True,False,False,APPEALS
3137,False,False,True,False,False,False,APPEAR
3140,False,False,True,False,False,False,APPEARED
3141,False,False,True,False,False,False,APPEARING
3142,False,False,True,False,False,False,APPEARS
3151,False,False,False,True,False,False,APPELLANT
3152,False,False,False,True,False,False,APPELLANTS
3153,False,False,False,True,False,False,APPELLATE
3156,False,False,False,True,False,False,APPELLEES
3226,False,False,False,True,False,False,APPOINTOR
3320,False,False,True,False,False,False,APPROXIMATE
3321,False,False,True,False,False,False,APPROXIMATED
3322,False,False,True,False,False,False,APPROXIMATELY
3323,False,False,True,False,False,False,APPROXIMATES
3324,False,False,True,False,False,False,APPROXIMATING
3325,False,False,True,False,False,False,APPROXIMATION
3326,False,False,True,False,False,False,APPROXIMATIONS
3327,False,False,False,True,False,False,APPURTENANCE
3328,False,False,False,True,False,False,APPURTENANCES
3329,False,False,False,True,False,False,APPURTENANT
3385,False,False,False,True,False,False,ARBITRABILITY
3395,False,False,False,True,False,False,ARBITRAL
3398,False,False,True,False,False,False,ARBITRARILY
3399,False,False,True,False,False,False,ARBITRARINESS
3401,False,False,True,False,False,False,ARBITRARY
3402,False,False,False,True,False,False,ARBITRATE
3403,False,False,False,True,False,False,ARBITRATED
3404,False,False,False,True,False,False,ARBITRATES
3405,False,False,False,True,False,False,ARBITRATING
3406,False,False,False,True,False,False,ARBITRATION
3407,False,False,False,True,False,False,ARBITRATIONAL
3408,False,False,False,True,False,False,ARBITRATIONS
3409,False,False,False,True,False,False,ARBITRATIVE
3410,False,False,False,True,False,False,ARBITRATOR
3411,False,False,False,True,False,False,ARBITRATORS
3538,True,False,False,False,False,False,ARGUE
3539,True,False,False,False,False,False,ARGUED
3543,True,False,False,False,False,False,ARGUING
3544,True,False,False,False,False,False,ARGUMENT
3547,True,False,False,False,False,False,ARGUMENTATIVE
3551,True,False,False,False,False,False,ARGUMENTS
3666,True,False,False,True,False,False,ARREARAGE
3667,True,False,False,True,False,False,ARREARAGES
3668,True,False,False,False,False,False,ARREARS
3669,True,False,False,False,False,False,ARREST
3670,True,False,False,False,False,False,ARRESTED
3673,True,False,False,False,False,False,ARRESTS
3760,True,False,False,False,False,False,ARTIFICIALLY
3792,False,False,False,False,False,True,ASBESTOS
3798,False,False,False,True,False,False,ASCENDANCY
3799,False,False,False,True,False,False,ASCENDANT
3800,False,False,False,True,False,False,ASCENDANTS
3936,True,False,False,False,False,False,ASSAULT
3937,True,False,False,False,False,False,ASSAULTED
3938,True,False,False,False,False,False,ASSAULTING
3939,True,False,False,False,False,False,ASSAULTS
3965,False,False,False,True,False,False,ASSERTABLE
3969,True,False,False,False,False,False,ASSERTIONS
4004,False,False,False,True,False,False,ASSIGNATION
4005,False,False,False,True,False,False,ASSIGNATIONS
4055,False,False,False,True,False,False,ASSUMABLE
4056,False,False,True,False,False,False,ASSUME
4057,False,False,True,False,False,False,ASSUMED
4058,False,False,True,False,False,False,ASSUMES
4059,False,False,True,False,False,False,ASSUMING
4060,False,False,True,False,False,False,ASSUMPTION
4061,False,False,True,False,False,False,ASSUMPTIONS
4065,False,True,False,False,False,False,ASSURE
4066,False,True,False,False,False,False,ASSURED
4069,False,True,False,False,False,False,ASSURES
4070,False,True,False,False,False,False,ASSURING
4244,False,True,False,False,False,False,ATTAIN
4250,False,True,False,False,False,False,ATTAINED
4251,False,True,False,False,False,False,ATTAINING
4252,False,True,False,False,False,False,ATTAINMENT
4253,False,True,False,False,False,False,ATTAINMENTS
4254,False,True,False,False,False,False,ATTAINS
4284,False,False,False,True,False,False,ATTEST
4285,False,False,False,True,False,False,ATTESTATION
4286,False,False,False,True,False,False,ATTESTATIONS
4287,False,False,False,True,False,False,ATTESTED
4288,False,False,False,True,False,False,ATTESTING
4303,False,False,False,True,False,False,ATTORN
4304,False,False,False,True,False,False,ATTORNEY
4305,False,False,False,True,False,False,ATTORNEYS
4306,False,False,False,True,False,False,ATTORNMENT
4307,False,False,False,True,False,False,ATTORNS
4316,False,True,False,False,False,False,ATTRACTIVE
4318,False,True,False,False,False,False,ATTRACTIVENESS
4331,True,False,False,False,False,False,ATTRITION
4415,False,False,False,False,False,True,AUGUST
4612,True,False,False,False,False,False,AVERSELY
4830,True,False,False,False,False,False,BACKDATING
4977,True,False,False,False,False,False,BAD
5045,True,False,False,True,False,False,BAIL
5047,False,False,False,True,False,False,BAILED
5048,False,False,False,True,False,False,BAILEE
5049,False,False,False,True,False,False,BAILEES
5050,False,False,False,True,False,False,BAILIFF
5051,False,False,False,True,False,False,BAILIFFS
5055,False,False,False,True,False,False,BAILMENT
5056,True,False,False,False,False,False,BAILOUT
5123,True,False,False,False,False,False,BALK
5124,True,False,False,False,False,False,BALKED
5204,False,False,False,False,False,True,BAN
5293,True,False,False,False,False,False,BANKRUPT
5294,True,False,False,False,False,False,BANKRUPTCIES
5295,True,False,False,False,False,False,BANKRUPTCY
5296,True,False,False,False,False,False,BANKRUPTED
5297,True,False,False,False,False,False,BANKRUPTING
5298,True,False,False,False,False,False,BANKRUPTS
5317,True,False,False,False,False,False,BANS
5513,True,False,False,False,False,False,BARRED
5533,True,False,False,False,False,False,BARRIER
5534,True,False,False,False,False,False,BARRIERS
5892,False,True,False,False,False,False,BEAUTIFUL
5893,False,True,False,False,False,False,BEAUTIFULLY
6205,False,False,True,False,False,False,BELIEVE
6206,False,False,True,False,False,False,BELIEVED
6209,False,False,True,False,False,False,BELIEVES
6210,False,False,True,False,False,False,BELIEVING
6325,False,True,False,False,False,False,BENEFICIAL
6326,False,True,False,False,False,False,BENEFICIALLY
6329,False,False,False,True,False,False,BENEFICIATED
6330,False,False,False,True,False,False,BENEFICIATION
6331,False,True,False,False,False,False,BENEFIT
6332,False,True,False,False,False,False,BENEFITED
6333,False,True,False,False,False,False,BENEFITING
6335,False,True,False,False,False,False,BENEFITTED
6336,False,True,False,False,False,False,BENEFITTING
6454,False,True,False,False,False,False,BEST
6527,False,True,False,False,False,False,BETTER
6930,False,False,False,False,False,True,BIOTERRORISM
7836,False,True,False,False,False,False,BOLSTERED
7837,False,True,False,False,False,False,BOLSTERING
7838,False,True,False,False,False,False,BOLSTERS
7870,False,False,False,True,False,False,BONA
7871,False,False,False,True,False,False,BONAFIDE
8011,False,True,False,False,False,False,BOOM
8021,False,True,False,False,False,False,BOOMING
8040,False,True,False,False,False,False,BOOST
8041,False,True,False,False,False,False,BOOSTED
8165,True,False,False,False,False,False,BOTTLENECK
8166,True,False,False,False,False,False,BOTTLENECKS
8207,False,False,False,False,True,False,BOUND
8210,False,False,False,False,True,False,BOUNDED
8302,True,False,False,False,False,False,BOYCOTT
8303,True,False,False,False,False,False,BOYCOTTED
8304,True,False,False,False,False,False,BOYCOTTING
8305,True,False,False,False,False,False,BOYCOTTS
8500,True,False,False,True,False,False,BREACH
8501,True,False,False,True,False,False,BREACHED
8502,True,False,False,True,False,False,BREACHES
8503,True,False,False,True,False,False,BREACHING
8525,True,False,False,False,False,False,BREAK
8528,True,False,False,False,False,False,BREAKAGE
8529,True,False,False,False,False,False,BREAKAGES
8532,True,False,False,False,False,False,BREAKDOWN
8533,True,False,False,False,False,False,BREAKDOWNS
8544,True,False,False,False,False,False,BREAKING
8551,True,False,False,False,False,False,BREAKS
8552,False,True,False,False,False,False,BREAKTHROUGH
8553,False,True,False,False,False,False,BREAKTHROUGHS
8643,True,False,False,False,False,False,BRIBE
8644,True,False,False,False,False,False,BRIBED
8646,True,False,False,False,False,False,BRIBERIES
8648,True,False,False,False,False,False,BRIBERY
8649,True,False,False,False,False,False,BRIBES
8650,True,False,False,False,False,False,BRIBING
8671,True,False,False,False,False,True,BRIDGE
8729,False,True,False,False,False,False,BRILLIANT
8855,True,False,False,False,False,False,BROKEN
9351,True,False,False,False,False,False,BURDEN
9352,True,False,False,False,False,False,BURDENED
9353,True,False,False,False,False,False,BURDENING
9354,True,False,False,False,False,False,BURDENS
9355,True,False,False,False,False,False,BURDENSOME
9426,True,False,False,False,False,False,BURNED
9848,True,False,False,False,False,False,CALAMITIES
9849,True,False,False,False,False,False,CALAMITOUS
9851,True,False,False,False,False,False,CALAMITY
10111,True,False,False,False,False,False,CANCEL
10114,True,False,False,False,False,False,CANCELED
10117,True,False,False,False,False,False,CANCELING
10119,True,False,False,False,False,False,CANCELLATION
10120,True,False,False,False,False,False,CANCELLATIONS
10121,True,False,False,False,False,False,CANCELLED
10124,True,False,False,False,False,False,CANCELLING
10126,True,False,False,False,False,False,CANCELS
10127,False,False,False,False,False,True,CANCER
10551,True,False,False,False,False,False,CARELESS
10552,True,False,False,False,False,False,CARELESSLY
10553,True,False,False,False,False,False,CARELESSNESS
10936,True,False,False,False,False,False,CATASTROPHE
10937,True,False,False,False,False,False,CATASTROPHES
10938,True,False,False,False,False,False,CATASTROPHIC
10939,True,False,False,False,False,False,CATASTROPHICALLY
11101,True,False,False,False,False,False,CAUTION
11102,True,False,False,False,False,False,CAUTIONARY
11103,True,False,False,False,False,False,CAUTIONED
11104,True,False,False,False,False,False,CAUTIONING
11105,True,False,False,False,False,False,CAUTIONS
11106,False,False,True,False,False,False,CAUTIOUS
11107,False,False,True,False,False,False,CAUTIOUSLY
11108,False,False,True,False,False,False,CAUTIOUSNESS
11164,True,False,False,False,False,False,CEASE
11165,True,False,False,False,False,False,CEASED
11172,True,False,False,False,False,False,CEASES
11173,True,False,False,False,False,False,CEASING
11177,False,False,False,True,False,False,CEDANT
11178,False,False,False,True,False,False,CEDANTS
11274,True,False,False,False,False,False,CENSURE
11275,True,False,False,False,False,False,CENSURED
11278,True,False,False,False,False,False,CENSURES
11279,True,False,False,False,False,False,CENSURING
11415,False,False,False,True,False,False,CERTIORARI
11430,False,False,False,True,False,False,CESSION
11495,True,False,False,False,False,False,CHALLENGE
11496,True,False,False,False,False,False,CHALLENGED
11499,True,False,False,False,False,False,CHALLENGES
11500,True,False,False,False,False,False,CHALLENGING
11635,False,False,False,False,False,True,CHAPTER
11671,True,False,False,False,False,False,CHARGEOFFS
11690,False,True,False,False,False,False,CHARITABLE
11766,False,False,False,True,False,False,CHATTEL
11767,False,False,False,True,False,False,CHATTELS
12227,False,False,False,True,False,False,CHOATE
12595,True,False,False,False,False,False,CIRCUMVENT
12596,True,False,False,False,False,False,CIRCUMVENTED
12597,True,False,False,False,False,False,CIRCUMVENTING
12598,True,False,False,False,False,False,CIRCUMVENTION
12599,True,False,False,False,False,False,CIRCUMVENTIONS
12600,True,False,False,False,False,False,CIRCUMVENTS
12670,False,False,False,True,False,False,CLAIM
12671,False,False,False,True,False,False,CLAIMABLE
12672,False,False,False,True,False,False,CLAIMANT
12673,False,False,False,True,False,False,CLAIMANTS
12677,False,False,False,True,False,False,CLAIMHOLDER
12679,True,False,False,False,False,False,CLAIMING
12680,True,False,False,True,False,False,CLAIMS
12759,False,False,True,False,False,False,CLARIFICATION
12760,False,False,True,False,False,False,CLARIFICATIONS
12836,True,False,False,False,False,False,CLAWBACK
12837,False,False,False,True,False,False,CLAWBACKS
13097,True,False,False,False,False,False,CLOSED
13104,True,False,False,False,False,False,CLOSEOUT
13105,True,False,False,False,False,False,CLOSEOUTS
13115,True,False,False,False,False,False,CLOSING
13116,True,False,False,False,False,False,CLOSINGS
13117,True,False,False,False,False,False,CLOSURE
13118,True,False,False,False,False,False,CLOSURES
13411,False,False,False,True,False,False,CODEFENDANT
13412,False,False,False,True,False,False,CODEFENDANTS
13430,False,False,False,True,False,False,CODICIL
13431,False,False,False,True,False,False,CODICILS
13432,False,False,False,True,False,False,CODIFICATION
13433,False,False,False,True,False,False,CODIFICATIONS
13434,False,False,False,True,False,False,CODIFIED
13437,False,False,False,True,False,False,CODIFIES
13438,False,False,False,True,False,False,CODIFY
13439,False,False,False,True,False,False,CODIFYING
13456,True,False,False,False,False,False,COERCE
13457,True,False,False,False,False,False,COERCED
13460,True,False,False,False,False,False,COERCES
13461,True,False,False,False,False,False,COERCING
13462,True,False,False,False,False,False,COERCION
13464,True,False,False,False,False,False,COERCIVE
13630,False,True,False,False,False,False,COLLABORATE
13631,False,True,False,False,False,False,COLLABORATED
13632,False,True,False,False,False,False,COLLABORATES
13633,False,True,False,False,False,False,COLLABORATING
13634,False,True,False,False,False,False,COLLABORATION
13635,False,True,False,False,False,False,COLLABORATIONS
13636,False,True,False,False,False,False,COLLABORATIVE
13639,False,True,False,False,False,False,COLLABORATOR
13640,False,True,False,False,False,False,COLLABORATORS
13645,True,False,False,False,False,False,COLLAPSE
13646,True,False,False,False,False,False,COLLAPSED
13647,True,False,False,False,False,False,COLLAPSES
13649,True,False,False,False,False,False,COLLAPSING
13728,True,False,False,False,False,False,COLLISION
13729,True,False,False,False,False,False,COLLISIONS
13748,True,False,False,False,False,False,COLLUDE
13749,True,False,False,False,False,False,COLLUDED
13750,True,False,False,False,False,False,COLLUDES
13751,True,False,False,False,False,False,COLLUDING
13752,True,False,False,True,False,False,COLLUSION
13753,True,False,False,False,False,False,COLLUSIONS
13754,True,False,False,False,False,False,COLLUSIVE
14044,False,False,False,False,True,False,COMMIT
14045,False,False,False,False,True,False,COMMITMENT
14046,False,False,False,False,True,False,COMMITMENTS
14047,False,False,False,False,True,False,COMMITS
14050,False,False,False,False,True,False,COMMITTED
14057,False,False,False,False,True,False,COMMITTING
14199,False,False,False,False,True,False,COMPEL
14200,False,False,False,False,True,False,COMPELLED
14201,False,False,False,False,True,False,COMPELLING
14203,False,False,False,False,True,False,COMPELS
14215,False,False,False,True,False,False,COMPENSATORY
14249,True,False,False,False,False,False,COMPLAIN
14250,False,False,False,True,False,False,COMPLAINANT
14251,False,False,False,True,False,False,COMPLAINANTS
14252,True,False,False,False,False,False,COMPLAINED
14255,True,False,False,False,False,False,COMPLAINING
14256,True,False,False,False,False,False,COMPLAINS
14257,True,False,False,False,False,False,COMPLAINT
14258,True,False,False,False,False,False,COMPLAINTS
14294,True,False,False,False,False,False,COMPLICATE
14295,True,False,False,False,False,False,COMPLICATED
14297,True,False,False,False,False,False,COMPLICATES
14298,True,False,False,False,False,False,COMPLICATING
14299,True,False,False,False,False,False,COMPLICATION
14300,True,False,False,False,False,False,COMPLICATIONS
14306,False,True,False,False,False,False,COMPLIMENT
14308,False,True,False,False,False,False,COMPLIMENTARY
14309,False,True,False,False,False,False,COMPLIMENTED
14310,False,True,False,False,False,False,COMPLIMENTING
14311,False,True,False,False,False,False,COMPLIMENTS
14312,False,False,False,False,True,False,COMPLY
14390,True,False,False,False,True,False,COMPULSION
14398,False,False,False,False,True,False,COMPULSORY
14439,True,False,False,False,False,False,CONCEALED
14442,True,False,False,False,False,False,CONCEALING
14446,True,False,False,False,False,False,CONCEDE
14447,True,False,False,False,False,False,CONCEDED
14448,True,False,False,False,False,False,CONCEDES
14449,True,False,False,False,False,False,CONCEDING
14456,False,False,True,False,False,False,CONCEIVABLE
14457,False,False,True,False,False,False,CONCEIVABLY
14484,True,False,False,False,False,False,CONCERN
14485,True,False,False,False,False,False,CONCERNED
14486,False,False,False,False,False,True,CONCERNING
14487,True,False,False,False,False,False,CONCERNS
14520,True,False,False,False,False,False,CONCILIATING
14521,True,False,False,False,False,False,CONCILIATION
14522,True,False,False,False,False,False,CONCILIATIONS
14542,False,True,False,False,False,False,CONCLUSIVE
14543,False,True,False,False,False,False,CONCLUSIVELY
14596,True,False,False,False,False,False,CONDEMN
14597,True,False,False,False,False,False,CONDEMNATION
14598,True,False,False,False,False,False,CONDEMNATIONS
14600,True,False,False,False,False,False,CONDEMNED
14603,True,False,False,False,False,False,CONDEMNING
14604,False,False,False,True,False,False,CONDEMNOR
14605,True,False,False,False,False,False,CONDEMNS
14627,False,False,True,False,False,False,CONDITIONAL
14628,False,False,True,False,False,False,CONDITIONALLY
14648,True,False,False,False,False,False,CONDONE
14649,True,False,False,False,False,False,CONDONED
14659,False,True,False,False,False,False,CONDUCIVE
14726,True,False,False,False,False,False,CONFESS
14727,True,False,False,False,False,False,CONFESSED
14729,True,False,False,False,False,False,CONFESSES
14730,True,False,False,False,False,False,CONFESSING
14731,True,False,False,False,False,False,CONFESSION
14746,False,True,False,False,False,False,CONFIDENT
14764,True,False,False,False,True,False,CONFINE
14765,True,False,False,False,True,False,CONFINED
14766,True,False,False,False,True,False,CONFINEMENT
14767,True,False,False,False,False,False,CONFINEMENTS
14768,True,False,False,False,True,False,CONFINES
14769,True,False,False,False,True,False,CONFINING
14778,True,False,False,False,False,False,CONFISCATE
14779,True,False,False,False,False,False,CONFISCATED
14780,True,False,False,False,False,False,CONFISCATES
14781,True,False,False,False,False,False,CONFISCATING
14782,True,False,False,False,False,False,CONFISCATION
14783,True,False,False,False,False,False,CONFISCATIONS
14786,False,False,False,True,False,False,CONFISCATORY
14795,True,False,False,False,False,False,CONFLICT
14796,True,False,False,False,False,False,CONFLICTED
14797,True,False,False,False,False,False,CONFLICTING
14798,True,False,False,False,False,False,CONFLICTS
14828,True,False,False,False,False,False,CONFRONT
14829,True,False,False,False,False,False,CONFRONTATION
14830,True,False,False,False,False,False,CONFRONTATIONAL
14831,True,False,False,False,False,False,CONFRONTATIONS
14832,True,False,False,False,False,False,CONFRONTED
14833,True,False,False,False,False,False,CONFRONTING
14834,True,False,False,False,False,False,CONFRONTS
14835,True,False,False,False,False,False,CONFUSE
